,count,mean,std,min,25%,50%,75%,max
182,4.0,3.15,4.6191629833408845,0.0,0.675,1.3,3.7750000000000004,10.0
183,4.0,2.5,1.9798989873223332,0.7,0.85,2.4,4.05,4.5
184,4.0,1.875,1.20381338531629,0.2,1.4,2.25,2.725,2.8
185,4.0,2.0,1.4142135623730951,0.2,1.4,2.1,2.7,3.6
186,4.0,2.8,1.8384776310850237,1.5,1.725,2.1,3.175,5.5
187,4.0,3.375,3.2907699200440415,0.9,1.575,2.2,4.0,8.2
188,4.0,3.95,2.905741442959668,0.9,1.875,3.85,5.925,7.2
189,4.0,4.300000000000001,1.7625738755203049,2.2,3.4,4.3,5.2,6.4
190,4.0,3.95,1.9756855350316593,1.6,3.1,3.9000000000000004,4.75,6.4
191,4.0,4.55,2.932007276025533,0.9,2.85,5.0,6.7,7.3
192,4.0,3.6999999999999997,3.3236526092037155,0.5,1.7000000000000002,3.05,5.05,8.2
193,4.0,4.2,2.705549851693737,0.9,2.55,4.6,6.25,6.7
194,4.0,3.1,1.9612920911140868,0.7,2.425,3.1,3.7750000000000004,5.5
195,4.0,6.9,2.2435091560618456,3.8,6.2,7.35,8.05,9.1
196,4.0,2.775,4.82381246180515,0.0,0.375,0.55,2.95,10.0
197,4.0,3.425,4.3927022814360335,0.9,1.125,1.4,3.7,10.0
198,4.0,3.4499999999999997,3.2150686877058576,1.1,1.85,2.25,3.8499999999999996,8.2
199,4.0,2.8000000000000003,2.333809475228573,0.7,0.85,2.6500000000000004,4.6000000000000005,5.2
200,4.0,4.6000000000000005,2.0992061991778384,2.2,3.7,4.45,5.35,7.3
201,4.0,3.55,3.2460232079679687,0.7,1.9,2.65,4.3,8.2
202,4.0,4.075,2.0271079563424013,1.1,3.65,4.85,5.275,5.5
203,4.0,2.85,2.971531591620725,1.2,1.275,1.4500000000000002,3.025,7.3
204,4.0,1.8250000000000002,1.501943185787443,0.2,0.7250000000000001,1.95,3.05,3.2
