nome,estado,partido,n_prod_leg,n_fisc,n_mobi,n_alin_partd,nota
expedito netto,Rondônia,PSD,3.3,0.5,2.4,0.9,5.19
fabiano tolentino,Minas Gerais,CIDADANIA,1.3,0.0,0.9,10.0,
fabio faria,Rio Grande do Norte,PP,1.7,0.0,0.9,10.0,
fabio henrique,Sergipe,UNIÃO,3.9,0.7,4.5,0.9,4.25
fabio mitidieri,Sergipe,PSD,2.8,0.2,2.7,1.8,
fabio ramalho,Minas Gerais,MDB,2.4,0.2,1.8,3.6,6.35
fabio reis,Sergipe,PSD,2.4,1.8,1.5,5.5,5.49
fabio schiochet,Santa Catarina,UNIÃO,2.6,0.9,1.8,8.2,7.03
fabio trad,Mato Grosso do Sul,PSD,7.2,2.2,5.5,0.9,5.83
fausto pinato,São Paulo,PP,3.8,2.2,4.8,6.4,6.49
felicio laterca,Rio de Janeiro,PP,4.2,1.6,3.6,6.4,6.97
felipe carreras,Pernambuco,PSB,6.5,3.5,7.3,0.9,6.81
felipe francischini,Paraná,UNIÃO,4.0,0.5,2.1,8.2,7.14
felipe rigoni,Espírito Santo,UNIÃO,6.7,3.1,6.1,0.9,7.72
felix mendonca junior,Bahia,PDT,3.2,0.7,3.0,5.5,3.32
fernanda melchionna,Rio Grande do Sul,PSOL,7.7,3.8,7.0,9.1,3.41
fernando borja,Minas Gerais,AVANTE,0.5,0.0,0.6,10.0,
fernando coelho filho,Pernambuco,UNIÃO,1.6,0.9,1.2,10.0,6.31
fernando monteiro,Pernambuco,PP,2.4,1.1,2.1,8.2,5.56
fernando rodolfo,Pernambuco,PL,4.4,0.7,5.2,0.9,4.68
filipe barros,Paraná,PL,4.7,2.2,4.2,7.3,6.87
flavia arruda,Distrito Federal,PL,2.3,0.7,3.0,8.2,5.95
flavia morais,Goiás,PDT,5.2,1.1,5.5,4.5,4.05
flaviano melo,Acre,MDB,1.6,1.3,1.2,7.3,6.33
flavio nogueira,Piauí,PT,3.2,0.2,3.0,0.9,5.73
flordelis,Rio de Janeiro,PSD,2.4,0.9,1.8,9.1,
francisco jr.,Goiás,PSD,5.0,2.0,4.8,7.3,6.45
franco cartafina,Minas Gerais,PP,3.9,1.5,2.7,5.5,7.19
fred costa,Minas Gerais,PATRIOTA,6.0,0.9,4.8,6.4,7.36
frei anastacio ribeiro,Paraíba,PT,5.6,3.5,4.5,7.3,2.64
gastao vieira,Maranhão,PROS,2.6,0.7,2.4,0.9,
gelson azevedo,Rio de Janeiro,PL,1.8,0.7,0.9,9.1,6.36
genecias noronha,Ceará,PL,1.3,0.4,0.6,8.2,6.3
general girao,Rio Grande do Norte,PL,2.8,0.4,2.7,8.2,7.44
general peternelli,São Paulo,UNIÃO,4.0,1.6,5.2,6.4,7.79
geninho zuliani,São Paulo,UNIÃO,7.8,1.6,6.7,7.3,6.63
geovania de sa,Santa Catarina,PSDB,3.3,0.2,2.4,1.8,7.02
gervasio maia,Paraíba,PSB,3.6,1.6,4.8,6.4,3.08
giacobo,Paraná,PL,1.5,0.9,1.5,9.1,6.81
gil cutrim,Maranhão,REPUBLICANOS,3.1,0.9,3.6,0.9,6.9
gilberto abramo,Minas Gerais,REPUBLICANOS,4.2,0.9,3.6,10.0,6.41
gilberto nascimento,São Paulo,PSC,1.6,2.2,1.8,8.2,5.66
gilson marques,Santa Catarina,NOVO,5.6,2.9,3.0,10.0,7.97
giovani cherini,Rio Grande do Sul,PL,5.2,1.6,5.2,8.2,6.77
giovani feltes,Rio Grande do Sul,MDB,1.4,0.9,0.6,6.4,6.24
glauber braga,Rio de Janeiro,PSOL,3.6,3.8,6.4,9.1,3.11
gleisi hoffmann,Paraná,PT,4.2,3.5,4.8,9.1,2.35
gonzaga patriota,Pernambuco,PSB,2.8,2.4,2.7,6.4,3.37
gorete pereira,Ceará,PL,0.1,0.0,0.3,10.0,
greyce elias,Minas Gerais,AVANTE,3.3,1.3,3.6,7.3,6.36
guiga peixoto,São Paulo,PSC,3.6,1.5,2.4,3.6,7.95
guilherme mussi,São Paulo,PP,1.4,0.9,1.5,9.1,5.86
gurgel,Rio de Janeiro,PL,4.1,1.6,3.0,8.2,7.41
gustavo fruet,Paraná,PDT,5.1,4.0,3.3,3.6,4.01
gustinho ribeiro,Sergipe,REPUBLICANOS,2.6,0.5,2.7,8.2,6.47
gutemberg reis,Rio de Janeiro,MDB,3.0,0.5,4.2,7.3,5.46
haroldo cathedral,Roraima,PSD,1.7,1.3,2.1,7.3,5.71
heitor freire,Ceará,UNIÃO,4.4,1.5,3.3,7.3,7.16
heitor schuch,Rio Grande do Sul,PSB,3.3,1.6,3.3,6.4,3.88
helder salomao,Espírito Santo,PT,7.2,2.5,5.2,9.1,2.62
helio costa,Santa Catarina,PSD,2.4,0.2,1.5,1.8,6.61
helio leite,Pará,UNIÃO,2.5,0.0,2.1,7.3,6.29
helio lopes,Rio de Janeiro,PL,5.1,1.5,3.9,9.1,7.17
henrique do paraiso,São Paulo,REPUBLICANOS,0.6,0.0,1.2,10.0,
henrique fontana,Rio Grande do Sul,PT,3.3,3.5,4.2,8.2,2.18
hercilio coelho diniz,Minas Gerais,MDB,3.1,0.0,3.3,4.5,6.71
herculano passos,São Paulo,REPUBLICANOS,2.5,1.3,4.5,7.3,4.43
hermes parcianello,Paraná,MDB,1.4,0.9,0.6,3.6,6.39
hildo rocha,Maranhão,MDB,6.4,2.2,5.8,2.7,5.93
hiran goncalves,Roraima,PP,3.6,0.5,3.0,9.1,6.8
hugo leal,Rio de Janeiro,PSD,5.3,3.5,5.5,7.3,7.16
hugo motta,Paraíba,REPUBLICANOS,3.5,0.9,2.1,8.2,6.3
idilvan alencar,Ceará,PDT,2.7,2.0,3.9,1.8,3.64
igor kannario,Bahia,UNIÃO,2.5,0.0,1.5,6.4,6.92
igor timo,Minas Gerais,PODE,3.6,1.5,4.8,7.3,6.51
iracema portella,Piauí,PP,1.9,0.7,1.5,9.1,5.78
isnaldo bulhoes jr.,Alagoas,MDB,3.5,0.2,3.0,8.2,6.63
ivan valente,São Paulo,PSOL,6.6,4.2,5.8,9.1,3.05
jandira feghali,Rio de Janeiro,PCdoB,5.6,3.8,6.4,9.1,2.94
jaqueline cassol,Rondônia,PP,3.6,1.5,3.9,6.4,6.4
jefferson campos,São Paulo,PL,3.2,2.4,0.9,0.9,6.43
jeronimo goergen,Rio Grande do Sul,PP,5.0,1.1,7.3,5.5,7.33
jessica sales,Acre,MDB,2.7,0.4,2.1,1.8,5.92
jesus sergio,Acre,PDT,4.1,2.5,3.3,4.5,4.17
jhonatan de jesus,Roraima,REPUBLICANOS,3.0,0.2,2.4,8.2,6.63
joao campos,Goiás,REPUBLICANOS,2.8,0.7,2.7,7.3,6.13
joao carlos bacelar,Bahia,PL,1.8,0.5,2.1,9.1,5.02
joao daniel,Sergipe,PT,6.0,2.7,6.1,8.2,2.61
joao h. campos,Pernambuco,PSB,3.9,2.4,5.2,8.2,
joao maia,Rio Grande do Norte,PL,3.2,1.1,2.1,10.0,7.25
joao marcelo souza,Maranhão,MDB,1.7,0.2,1.8,9.1,5.6
joao roma,Bahia,PL,3.2,0.5,2.4,8.2,6.12
joaquim passarinho,Pará,PL,3.9,1.6,3.0,3.6,7.75
joenia wapichana,Roraima,REDE,5.2,2.7,5.8,10.0,3.67
joice hasselmann,São Paulo,PSDB,4.2,2.0,3.3,0.9,7.87
jones moura,Rio de Janeiro,PSD,0.5,0.2,0.9,10.0,7.39
jorge braz,Rio de Janeiro,REPUBLICANOS,2.3,1.1,1.5,9.1,6.28
jorge goetten,Santa Catarina,PL,0.5,0.0,0.3,10.0,
jorge solla,Bahia,PT,5.5,4.4,6.4,9.1,1.95
jose airton felix cirilo,Ceará,PT,4.4,0.7,3.6,8.2,2.58
jose guimaraes,Ceará,PT,6.9,2.2,4.8,8.2,2.75
