,n_prod_leg,n_fisc,n_mobi,n_alin_partd
418,3.4,0.7,3.3,7.3
419,4.2,0.0,2.4,0.9
420,2.0,0.4,2.7,10.0
421,0.5,0.4,0.0,9.1
422,5.3,4.4,5.5,9.1
423,6.4,3.6,8.8,0.9
424,3.5,2.2,4.8,9.1
425,3.0,1.1,2.1,7.3
426,2.4,1.1,2.7,7.3
427,6.0,0.9,3.9,7.3
428,4.7,1.3,3.0,0.9
429,1.7,1.3,0.9,8.2
430,6.3,4.7,5.5,9.1
431,3.5,2.4,5.8,9.1
432,2.0,0.4,0.9,4.5
433,0.6,0.0,0.3,10.0
434,4.4,3.5,5.8,8.2
435,5.9,3.5,5.5,6.4
436,7.0,4.4,8.5,9.1
437,1.1,0.0,1.2,9.1
438,4.4,1.3,4.5,0.9
439,1.1,0.5,0.6,8.2
440,2.6,2.4,2.7,3.6
441,0.5,0.2,0.9,10.0
442,4.8,1.5,3.6,6.4
443,4.4,1.3,3.6,5.5
444,1.8,1.5,1.8,8.2
445,5.6,3.6,7.3,8.2
446,2.2,1.8,2.4,7.3
447,3.6,0.9,4.8,9.1
448,7.0,2.4,7.9,8.2
449,3.5,1.3,2.7,9.1
450,3.8,1.5,3.6,6.4
451,8.0,0.7,7.0,3.6
452,2.2,2.0,2.1,6.4
453,2.4,1.1,2.4,9.1
454,5.2,3.3,6.7,0.9
455,3.0,1.3,1.8,6.4
456,2.8,1.3,2.4,0.9
457,4.4,1.8,5.2,2.7
458,2.8,2.5,3.3,9.1
459,5.7,4.0,7.0,8.2
460,0.2,0.0,0.3,0.0
461,4.1,3.1,4.2,6.4
462,0.8,0.0,1.2,9.1
463,2.3,1.3,1.5,6.4
464,2.2,1.3,2.1,0.9
465,6.5,4.0,7.0,8.2
466,3.1,1.3,2.1,5.5
467,7.0,4.2,6.4,7.3
468,5.5,1.6,4.8,3.6
469,4.2,1.6,2.7,10.0
470,2.6,0.9,4.2,7.3
471,0.7,0.0,0.6,9.1
472,2.2,0.5,1.2,8.2
473,4.7,2.5,5.5,0.9
474,0.7,0.0,0.9,10.0
475,4.8,2.5,3.3,0.9
476,1.8,1.1,1.2,5.5
477,1.9,0.0,1.5,6.4
478,3.9,1.6,2.7,10.0
479,5.6,0.5,6.4,4.5
480,2.7,1.1,4.5,10.0
481,7.4,3.3,4.5,0.9
482,4.3,1.5,5.8,0.9
483,3.3,0.2,3.0,6.4
484,1.5,1.8,0.9,0.9
485,6.3,2.5,8.8,9.1
486,3.0,0.2,2.4,0.9
487,2.2,2.9,1.5,10.0
488,0.6,0.4,0.9,10.0
489,4.0,2.2,4.2,0.9
490,2.6,1.5,2.4,5.5
491,3.9,1.5,3.6,0.9
492,5.5,2.2,3.3,2.7
493,5.8,3.5,5.8,10.0
494,4.0,0.4,2.4,9.1
495,3.4,2.2,5.5,9.1
496,2.6,1.1,1.8,2.7
497,5.8,2.7,6.4,10.0
498,2.8,1.3,2.1,0.9
499,7.0,2.2,5.2,8.2
500,3.0,0.5,4.8,9.1
501,2.7,1.5,1.5,0.9
502,2.6,1.3,2.4,10.0
503,2.3,0.2,2.1,9.1
504,1.4,0.0,1.5,9.1
505,3.1,1.5,3.3,6.4
506,2.3,0.7,1.5,8.2
507,2.7,1.5,4.5,7.3
508,2.4,0.2,1.8,8.2
509,3.5,0.4,2.4,3.6
510,3.3,3.3,3.0,2.7
511,3.1,2.2,3.0,8.2
512,3.0,0.5,3.3,0.9
513,3.1,1.1,3.6,6.4
514,0.7,0.4,0.3,0.0
515,3.9,1.5,3.0,6.4
516,4.2,1.8,2.1,3.6
517,1.8,2.0,0.9,6.4
518,5.8,2.0,4.8,2.7
519,7.5,4.0,6.7,0.9
520,3.9,3.3,4.2,7.3
521,7.2,2.9,6.4,9.1
522,3.4,1.6,3.9,2.7
523,0.5,0.5,0.9,10.0
524,5.0,2.7,7.0,0.9
525,2.0,0.5,1.8,10.0
526,3.9,1.6,3.3,6.4
527,4.2,3.5,5.2,10.0
528,2.2,1.3,0.9,0.9
529,2.0,1.1,1.5,4.5
530,2.3,0.7,1.8,7.3
531,0.7,0.0,1.2,10.0
532,5.1,2.7,5.5,0.9
533,1.9,1.3,1.2,4.5
534,1.6,0.9,1.5,6.4
535,2.0,0.9,1.5,0.9
536,4.2,2.4,4.2,8.2
537,3.0,1.1,2.7,8.2
538,3.1,3.5,4.8,7.3
539,2.5,0.7,1.2,0.9
540,2.7,0.4,2.1,8.2
541,3.0,0.5,2.1,8.2
542,3.9,4.2,4.5,9.1
543,3.0,0.2,3.0,10.0
544,0.5,0.4,0.6,10.0
545,4.5,0.5,4.5,7.3
546,4.7,1.1,2.4,9.1
547,3.4,1.8,3.6,8.2
548,1.3,0.9,1.2,10.0
549,3.5,2.7,3.9,10.0
550,5.0,0.7,3.6,9.1
551,3.6,1.3,4.8,3.6
552,2.5,2.5,4.5,10.0
553,3.4,3.6,5.2,8.2
554,2.7,1.6,2.1,9.1
555,4.0,1.6,3.0,0.9
556,2.8,1.6,2.4,10.0
557,4.1,0.9,3.9,8.2
558,2.3,1.1,1.8,8.2
559,4.2,4.0,3.3,9.1
560,0.5,0.0,1.2,10.0
561,3.1,2.0,6.4,7.3
562,4.2,1.1,5.5,7.3
563,4.3,0.5,3.6,6.4
564,5.8,1.8,4.5,6.4
565,3.2,3.1,4.5,8.2
