,nome,estado,regiao,partido,ideologia,n_prod_leg,n_fisc,n_mobi,n_alin_partd,avg_site1,nota_site2
302,luiz carlos motta,São Paulo,sudeste,PL,direita,3.0,0.9,3.3,7.3,2.6882353,6.68
303,luiz lima,Rio de Janeiro,sudeste,PL,direita,6.5,1.6,3.9,8.2,4.7,7.69
304,luiz nishimori,Paraná,sul,PSD,centro,2.5,1.6,2.1,8.2,2.5,6.59
305,luiz philippe de orleans e braganca,São Paulo,sudeste,PL,direita,6.7,1.3,4.8,1.8,4.4882355,7.78
306,luiza erundina,São Paulo,sudeste,PSOL,esquerda,4.2,3.6,5.2,7.3,4.382353,2.97
307,luizao goulart,Paraná,sul,SOLIDARIEDADE,centro,5.6,0.4,3.6,7.3,3.817647,6.5
308,luizianne lins,Ceará,nordeste,PT,esquerda,3.4,3.6,4.5,9.1,3.9882352,3.15
309,magda mofatto,Goiás,centro oeste,PL,direita,2.8,2.4,2.1,8.2,2.8764706,5.32
310,major fabiana,Rio de Janeiro,sudeste,PL,direita,3.2,1.1,3.3,9.1,2.947059,7.2
311,mara rocha,Acre,norte,MDB,centro,4.1,1.5,3.6,0.9,3.0588236,6.24
312,marcel van hattem,Rio Grande do Sul,sul,NOVO,direita,3.4,2.4,5.2,8.2,3.7058823,7.66
313,marcelo alvaro antonio,Minas Gerais,sudeste,PL,direita,1.0,0.4,0.9,9.1,1.2823529,7.2
314,marcelo aro,Minas Gerais,sudeste,PP,direita,2.5,1.3,2.7,8.2,2.517647,5.36
315,marcelo calero,Rio de Janeiro,sudeste,PSD,centro,3.4,2.9,4.2,4.5,3.4588234,7.93
316,marcelo freixo,Rio de Janeiro,sudeste,PSB,esquerda,5.2,4.4,5.8,8.2,5.247059,3.37
317,marcelo nilo,Bahia,nordeste,REPUBLICANOS,direita,2.4,0.4,3.0,5.5,2.1,4.05
318,marcelo ramos,Amazonas,norte,PSD,centro,6.4,2.0,5.5,0.9,4.6235294,6.97
319,marcio alvino,São Paulo,sudeste,PL,direita,1.6,1.1,3.9,9.1,2.3,7.22
320,marcio biolchi,Rio Grande do Sul,sul,MDB,centro,1.9,0.2,0.6,5.5,1.382353,6.89
321,marcio labre,Rio de Janeiro,sudeste,PL,direita,3.1,0.9,2.1,7.3,2.5235295,7.33
322,marcio marinho,Bahia,nordeste,REPUBLICANOS,direita,2.7,0.2,4.5,9.1,2.6588235,5.96
323,marco bertaiolli,São Paulo,sudeste,PSD,centro,3.3,1.1,4.2,5.5,2.9411764,8.02
324,marcon,Rio Grande do Sul,sul,PT,esquerda,3.9,3.8,4.8,7.3,4.2294116,2.56
325,marcos aurelio sampaio,Piauí,nordeste,PSD,centro,2.0,0.2,2.1,9.1,1.9058824,6.22
326,marcos pereira,São Paulo,sudeste,REPUBLICANOS,direita,3.5,0.9,2.7,7.3,2.817647,6.93
327,marcos soares,Rio de Janeiro,sudeste,UNIÃO,direita,0.8,0.4,1.2,7.3,1.1352941,5.81
328,margarete coelho,Piauí,nordeste,PP,direita,4.8,0.7,4.5,8.2,3.7411764,6.32
329,maria do rosario,Rio Grande do Sul,sul,PT,esquerda,7.2,2.5,6.4,8.2,5.7352943,2.62
330,maria rosas,São Paulo,sudeste,REPUBLICANOS,direita,3.6,1.3,3.0,10.0,3.1941175,5.9
331,marilia arraes,Pernambuco,nordeste,SOLIDARIEDADE,centro,5.3,2.7,5.2,9.1,4.7411766,2.77
332,marina santos,Piauí,nordeste,REPUBLICANOS,direita,2.7,1.1,2.4,8.2,2.5,6.5
333,mario heringer,Minas Gerais,sudeste,PDT,esquerda,5.5,2.2,3.6,8.2,4.352941,3.76
334,mario negromonte jr.,Bahia,nordeste,PP,direita,2.4,0.9,1.8,5.5,2.035294,5.65
335,marlon santos,Rio Grande do Sul,sul,PL,direita,1.7,0.7,1.8,0.9,1.3764706,6.5
336,marreca filho,Maranhão,nordeste,PATRIOTA,direita,4.9,2.2,3.3,6.4,3.9117646,6.82
337,marx beltrao,Alagoas,nordeste,PP,direita,2.7,1.1,2.4,6.4,2.3941176,6.32
338,mauricio dziedricki,Rio Grande do Sul,sul,PODE,centro,3.3,0.0,3.0,6.4,2.4588234,7.16
339,mauro benevides filho,Ceará,nordeste,PDT,esquerda,1.6,1.8,2.1,9.1,2.1882353,5.47
340,mauro lopes,Minas Gerais,sudeste,PP,direita,2.6,0.9,2.7,7.3,2.3941176,6.2
341,mauro nazif,Rondônia,norte,PSB,esquerda,7.0,0.7,5.2,0.9,4.470588,4.65
342,merlong solano,Piauí,nordeste,PT,esquerda,2.8,2.7,3.0,8.2,3.1235294,3.32
343,miguel lombardi,São Paulo,sudeste,PL,direita,2.4,1.5,1.8,6.4,2.264706,7.26
344,milton coelho,Pernambuco,nordeste,PSB,esquerda,1.7,1.1,2.4,7.3,1.9764706,3.97
345,milton vieira,São Paulo,sudeste,REPUBLICANOS,direita,2.4,0.9,1.8,10.0,2.3,6.16
346,misael varella,Minas Gerais,sudeste,PSD,centro,1.7,1.1,1.5,7.3,1.8176471,6.03
347,natalia bonavides,Rio Grande do Norte,nordeste,PT,esquerda,6.3,2.5,5.2,9.1,5.152941,2.51
348,nelson barbudo,Mato Grosso,centro oeste,PL,direita,3.2,0.7,2.1,9.1,2.6176472,7.42
349,nereu crispim,Rio Grande do Sul,sul,PSD,centro,5.5,1.1,6.1,3.6,4.2,6.79
350,neri geller,Mato Grosso,centro oeste,PP,direita,2.7,0.7,2.1,10.0,2.4352942,6.62
351,neucimar fraga,Espírito Santo,sudeste,PP,direita,2.4,1.1,1.8,8.2,2.2529411,6.9
352,newton cardoso jr,Minas Gerais,sudeste,MDB,centro,2.7,1.1,4.5,5.5,2.7117648,5.65
353,nicoletti,Roraima,norte,UNIÃO,direita,4.8,1.6,3.3,7.3,3.7411764,6.86
354,nilson pinto,Pará,norte,PSDB,centro,1.5,1.1,1.8,8.2,1.8294117,6.43
355,nilto tatto,São Paulo,sudeste,PT,esquerda,6.9,4.4,5.2,9.1,5.9941177,2.89
356,nivaldo albuquerque,Alagoas,nordeste,REPUBLICANOS,direita,4.4,1.5,3.9,8.2,3.682353,6.87
357,norma ayub,Espírito Santo,sudeste,PP,direita,3.5,1.3,3.6,2.7,2.8235295,5.49
358,odair cunha,Minas Gerais,sudeste,PT,esquerda,2.2,1.3,4.5,7.3,2.6411765,2.78
359,olival marques,Pará,norte,MDB,centro,2.2,0.4,1.5,8.2,1.9,6.48
